scenario_id,target_kappa,realised_kappa_mean,realised_kappa_mcse,abs_diff,base_rate_primary
0,0.2,0.19674506066248548,0.0034171517299303525,0.0032549393375145286,0.05
1,0.3,0.2968008535939761,0.004285466601502008,0.0031991464060238672,0.05
2,0.4,0.3975074957006357,0.004494050346410976,0.0024925042993643176,0.05
3,0.5,0.497566802701893,0.0051168562943245885,0.0024331972981069816,0.05
4,0.6,0.6056519949001461,0.004911473997062571,0.005651994900146118,0.05
5,0.7,0.7017085156117964,0.004511775106323665,0.0017085156117964129,0.05
6,0.8,0.7124266461004276,0.004222811078426239,0.08757335389957244,0.05
7,0.2,0.20126618833287604,0.003566084124309748,0.0012661883328760337,0.1
8,0.3,0.29765474333390474,0.0034356763764274573,0.0023452566660952523,0.1
9,0.4,0.3991113853329582,0.0036907310572616334,0.0008886146670418205,0.1
10,0.5,0.499292944925284,0.003882288815523898,0.0007070550747160231,0.1
11,0.6,0.5980364656938577,0.0038381749903719925,0.001963534306142267,0.1
12,0.7,0.7011768030695926,0.0038764561421034517,0.001176803069592669,0.1
13,0.8,0.7970024831954432,0.0031460792586701356,0.0029975168045568434,0.1
14,0.2,0.20530018631010946,0.00286332545553781,0.00530018631010945,0.2
15,0.3,0.29788130762938625,0.00324164095244816,0.0021186923706137395,0.2
16,0.4,0.40123519422043147,0.0037059365138805513,0.0012351942204314459,0.2
17,0.5,0.5011891555735349,0.0025989494600532374,0.001189155573534939,0.2
18,0.6,0.5997788134949549,0.002815681102854893,0.00022118650504510118,0.2
19,0.7,0.7002196470939355,0.002738460664127056,0.00021964709393551551,0.2
20,0.8,0.7967903827900116,0.002425345962305872,0.003209617209988469,0.2
21,0.2,0.1901310452511698,0.003085279433979957,0.009868954748830205,0.5
22,0.3,0.3006082989141151,0.002972412907754821,0.000608298914115124,0.5
23,0.4,0.3991412866469456,0.0029447074544874793,0.00085871335305443,0.5
24,0.5,0.5029812520531897,0.0026443680183657926,0.0029812520531896647,0.5
25,0.6,0.5983658941745693,0.002817537017625503,0.001634105825430665,0.5
26,0.7,0.6982265054784941,0.0022665280823868806,0.0017734945215058806,0.5
27,0.8,0.7999267393450473,0.0018160699873657894,7.32606549527226e-05,0.5
